2048 x 2048 sparse matrix, nnz = 7022
(182,1050)	6.0
(183,621)	3.0
(183,626)	3.0
(183,645)	6.0
(183,646)	6.0
(183,697)	3.0
(183,755)	3.0
(183,1022)	10.0
(183,1030)	6.0
(184,616)	3.0
(184,643)	10.0
(184,644)	3.0
(184,756)	9.0
(184,779)	3.0
(184,821)	3.0
(184,1023)	3.0
(185,614)	3.0
(185,645)	9.0
(185,696)	19.0
(185,820)	109.0
(185,1030)	3.0
(186,583)	3.0
(186,595)	3.0
(186,612)	9.0
(186,613)	3.0
(186,614)	3.0
(186,641)	6.0
(186,642)	6.0
(186,758)	6.0
(187,592)	12.0
(187,606)	12.0
(187,611)	3.0
(187,612)	6.0
(187,645)	3.0
(187,919)	3.0
(187,1055)	3.0
(188,607)	3.0
(188,610)	3.0
(188,638)	6.0
(188,792)	6.0
(188,817)	16.0
(189,647)	3.0
(189,761)	6.0
(189,778)	3.0
(189,817)	3.0
(190,607)	3.0
(190,631)	3.0
(190,634)	9.0
(190,761)	6.0
(190,817)	3.0
(191,604)	3.0
(191,605)	6.0
(191,649)	3.0
(191,817)	6.0
(192,763)	19.0
(192,893)	3.0
(192,1058)	3.0
(193,626)	3.0
(193,690)	6.0
(193,765)	3.0
(193,776)	3.0
(193,892)	3.0
(193,1026)	3.0
(194,580)	6.0
(194,651)	3.0
(194,766)	3.0
(194,767)	3.0
(194,818)	9.0
(194,1026)	12.0
(195,626)	3.0
(195,689)	6.0
(195,800)	9.0
(195,816)	3.0
(195,818)	3.0
(195,890)	3.0
(195,1093)	3.0
(196,626)	3.0
(196,651)	9.0
(196,688)	3.0
(196,768)	16.0
(196,769)	6.0
(196,817)	3.0
(196,925)	6.0
(196,1003)	3.0
(196,1060)	6.0
(197,770)	6.0
(197,890)	3.0
(197,1003)	3.0
(198,771)	15.0
(198,772)	6.0
(198,821)	12.0
(198,865)	3.0
(198,1033)	3.0
(198,1036)	10.0
(198,1037)	3.0
(198,1061)	6.0
(199,687)	15.0
(199,772)	3.0
(199,847)	3.0
(199,850)	130.0
(199,855)	3.0
(199,862)	39.0
(199,1005)	3.0
(199,1023)	13.0
(199,1061)	3.0
(200,604)	3.0
(200,686)	3.0
(200,773)	6.0
(200,775)	6.0
(200,815)	25.0
(200,819)	3.0
(200,846)	3.0
(200,853)	3.0
(200,856)	16.0
(200,858)	3.0
(200,862)	3.0
(200,882)	3.0
(200,931)	3.0
(200,1062)	3.0
(201,605)	3.0
(201,813)	12.0
(201,827)	3.0
(201,829)	3.0
(201,830)	3.0
(201,886)	3.0
(201,887)	6.0
(201,932)	3.0
(201,1022)	10.0
(201,1041)	3.0
(202,6)	3.0
(202,685)	3.0
(202,778)	15.0
(202,825)	3.0
(202,826)	6.0
(202,842)	12.0
(202,1063)	3.0
(202,1092)	3.0
(203,778)	12.0
