geometry,time,area_ardida,f
POINT(-7.52118898568267 40.8717511479272),2001-04-09 00:00:00,2,1
POINT(-7.52118898568267 41.201899058691),2001-04-09 00:00:00,4.28,14
POINT(-7.52118898568267 41.5320469694549),2001-04-09 00:00:00,4.51,4
POINT(-7.19104107491884 39.8813074156357),2001-04-09 00:00:00,4.5,4
POINT(-7.19104107491884 40.2114553263995),2001-04-09 00:00:00,1.5,2
POINT(-7.19104107491884 40.8717511479272),2001-04-09 00:00:00,2,1
POINT(-7.19104107491884 41.201899058691),2001-04-09 00:00:00,4.5,2
POINT(-7.19104107491884 41.5320469694549),2001-04-09 00:00:00,4.6,4
POINT(-6.86089316415502 40.8717511479272),2001-04-09 00:00:00,0.51,2
POINT(-6.86089316415502 41.201899058691),2001-04-09 00:00:00,0.5,1
POINT(-6.86089316415502 41.5320469694549),2001-04-09 00:00:00,1.5,2
POINT(-6.86089316415502 41.8621948802187),2001-04-09 00:00:00,0.01,1
POINT(-9.50207645026561 38.5607157725804),2001-04-16 00:00:00,0.002,1
POINT(-9.50207645026561 38.8908636833443),2001-04-16 00:00:00,2.74,6
POINT(-9.50207645026561 39.2210115941081),2001-04-16 00:00:00,0.05,1
POINT(-9.17192853950178 36.9099762187613),2001-04-16 00:00:00,0.5,1
POINT(-9.17192853950178 38.2305678618166),2001-04-16 00:00:00,0.2205,3
POINT(-9.17192853950178 38.5607157725804),2001-04-16 00:00:00,0.003,1
POINT(-9.17192853950178 38.8908636833443),2001-04-16 00:00:00,0.03,1
POINT(-9.17192853950178 39.2210115941081),2001-04-16 00:00:00,0.152,4
POINT(-9.17192853950178 39.5511595048719),2001-04-16 00:00:00,2.6001,4
POINT(-9.17192853950178 39.8813074156357),2001-04-16 00:00:00,5.0001,2
POINT(-9.17192853950178 41.5320469694549),2001-04-16 00:00:00,2.44,9
POINT(-8.84178062873798 37.5702720402889),2001-04-16 00:00:00,0.0001,1
POINT(-8.84178062873798 37.9004199510528),2001-04-16 00:00:00,2,1
POINT(-8.84178062873798 39.2210115941081),2001-04-16 00:00:00,0.104,2
POINT(-8.84178062873798 39.5511595048719),2001-04-16 00:00:00,1.7,5
POINT(-8.84178062873798 39.8813074156357),2001-04-16 00:00:00,1.51,2
POINT(-8.84178062873798 40.2114553263995),2001-04-16 00:00:00,0.51,3
POINT(-8.84178062873798 40.5416032371634),2001-04-16 00:00:00,0.34,3
POINT(-8.84178062873798 40.8717511479272),2001-04-16 00:00:00,4.05,33
POINT(-8.84178062873798 41.201899058691),2001-04-16 00:00:00,6.81,23
