geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
3;BEJA;01/12/2008 00:00;IP- Itinerário Principal;Nevoeiro;2;1;0;1
9;FARO;01/08/2011 00:00;EN - Estrada Nacional;Bom tempo;6;0;0;1
4;BRAGA;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;4
3;BEJA;01/08/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
2;AVEIRO;01/09/2007 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;1
14;PORTO;01/09/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;4
9;FARO;01/10/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;14
11;LEIRIA;01/11/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
2;AVEIRO;01/01/2008 00:00;A  - Auto-Estrada;Granizo;1;0;0;1
14;PORTO;01/11/2011 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;2
5;BRAGANCA;01/04/2010 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;2
12;LISBOA;01/02/2008 00:00;A  - Auto-Estrada;Chuva;1;1;1;1
16;SETUBAL;01/09/2011 00:00;EN - Estrada Nacional;Bom tempo;0;2;0;1
7;COIMBRA;01/11/2010 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;1
16;SETUBAL;01/05/2009 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
12;LISBOA;01/05/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;13
14;PORTO;01/02/2011 00:00;EN - Estrada Nacional;Chuva;2;2;0;1
8;EVORA;01/12/2012 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;1
3;BEJA;01/10/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
4;BRAGA;01/08/2009 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;6
14;PORTO;01/10/2012 00:00;Arruamento;Bom tempo;1;0;0;1
12;LISBOA;01/12/2009 00:00;A  - Auto-Estrada;Nevoeiro;1;0;0;1
3;BEJA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
12;LISBOA;01/11/2007 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
15;SANTAREM;01/09/2007 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
4;BRAGA;01/08/2012 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;36
12;LISBOA;01/01/2012 00:00;IP- Itinerário Principal;Chuva;1;0;0;2
6;CASTELO BRANCO;01/10/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
7;COIMBRA;01/11/2012 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;1
7;COIMBRA;01/02/2008 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;1
9;FARO;01/03/2012 00:00;EN - Estrada Nacional;Bom tempo;1;3;0;1
4;BRAGA;01/04/2008 00:00;EN - Estrada Nacional;Chuva;4;0;0;1
6;CASTELO BRANCO;01/08/2012 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;1
13;PORTALEGRE;01/02/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
13;PORTALEGRE;01/10/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
4;BRAGA;01/12/2009 00:00;EN - Estrada Nacional;Bom tempo;3;2;2;1
18;VILA REAL;01/10/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
