geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
16;SETUBAL;06/06/2011 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
11;LEIRIA;23/02/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;5
9;FARO;21/12/2009 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
9;FARO;08/10/2012 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
9;FARO;14/05/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
9;FARO;01/10/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
11;LEIRIA;23/07/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
15;SANTAREM;29/11/2010 00:00;A  - Auto-Estrada;Chuva;2;1;0;1
8;EVORA;14/09/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
4;BRAGA;09/07/2012 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
19;VISEU;13/04/2009 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
6;CASTELO BRANCO;02/08/2010 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
15;SANTAREM;16/08/2010 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
7;COIMBRA;11/05/2009 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
16;SETUBAL;09/07/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
10;GUARDA;22/03/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
11;LEIRIA;07/06/2010 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
14;PORTO;11/04/2011 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
8;EVORA;03/12/2012 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
14;PORTO;26/05/2008 00:00;EN - Estrada Nacional;Chuva;2;0;0;3
14;PORTO;02/01/2012 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
15;SANTAREM;01/12/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
10;GUARDA;01/12/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;2
9;FARO;15/10/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
15;SANTAREM;13/07/2009 00:00;A  - Auto-Estrada;Bom tempo;1;1;0;1
6;CASTELO BRANCO;28/09/2009 00:00;EN - Estrada Nacional;Bom tempo;8;4;0;1
16;SETUBAL;22/09/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
7;COIMBRA;11/05/2009 00:00;IP- Itinerário Principal;Chuva;2;0;0;1
14;PORTO;17/11/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;12
12;LISBOA;09/01/2012 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;3
14;PORTO;17/12/2007 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
18;VILA REAL;05/04/2010 00:00;IP- Itinerário Principal;Bom tempo;3;0;0;1
7;COIMBRA;27/08/2012 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;1
7;COIMBRA;16/05/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
16;SETUBAL;07/06/2010 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
14;PORTO;04/08/2008 00:00;Outra Via;Bom tempo;2;0;0;1
19;VISEU;03/08/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;4
16;SETUBAL;13/12/2010 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
19;VISEU;21/09/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
4;BRAGA;07/06/2010 00:00;EN - Estrada Nacional;Chuva;1;0;0;8
19;VISEU;29/09/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
5;BRAGANCA;19/05/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
8;EVORA;27/10/2008 00:00;ER - Estrada Regional;Bom tempo;2;0;0;1
6;CASTELO BRANCO;18/07/2011 00:00;IC - Itinerário Complementar;Bom tempo;0;0;1;1
17;VIANA DO CASTELO;27/10/2008 00:00;EN - Estrada Nacional;Chuva;1;1;0;1
5;BRAGANCA;21/04/2008 00:00;EN - Estrada Nacional;NÃO DEFINIDO;0;0;1;1
12;LISBOA;05/11/2007 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
19;VISEU;29/12/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
11;LEIRIA;13/06/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;5
11;LEIRIA;22/11/2010 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
7;COIMBRA;24/08/2009 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
9;FARO;28/11/2011 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;1
13;PORTALEGRE;14/11/2011 00:00;EN - Estrada Nacional;Bom tempo;6;0;0;1
19;VISEU;30/04/2007 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
12;LISBOA;05/09/2011 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;1
15;SANTAREM;31/10/2011 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
9;FARO;28/09/2009 00:00;EN - Estrada Nacional;Bom tempo;0;1;1;1
4;BRAGA;08/03/2010 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;1
10;GUARDA;02/07/2007 00:00;A  - Auto-Estrada;Nevoeiro;1;0;0;1
9;FARO;28/04/2008 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;1
7;COIMBRA;06/12/2010 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;2
12;LISBOA;19/11/2012 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
12;LISBOA;06/10/2008 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
17;VIANA DO CASTELO;20/08/2007 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
8;EVORA;28/03/2011 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
10;GUARDA;10/08/2009 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
